,Unnamed: 0,scale,path,psnr,ssim,lpips,chamfer
2361,2361,"(1088, 2176)",/root/autodl-tmp/animedata/anime_dataset/3123,45.9436850752665,0.8886819,0.01499,3.5164394e-06
9020,9020,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_12_00688_s2,35.59684139530718,0.9975248,0.01499,4.487093e-06
3415,3415,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Disney_v2_8_00969_s1,34.36745390316601,1.0579895,0.015015,9.370319e-06
13339,13339,any,/root/autodl-tmp/animedata/train_10k/Hayao_0_01277_s2,38.29625206934246,0.99713796,0.01508,7.173443e-06
13777,13777,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_0_111997_s3,40.30521858986157,0.99330765,0.01511,8.981013e-06
15418,15418,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_122192_s3,37.304009202275566,0.99152225,0.015114,7.1493423e-06
11382,11382,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_7_04074_s2,33.652216015014005,0.9918482,0.01513,1.2592475e-05
8929,8929,any,/root/autodl-tmp/animedata/train_10k/Disney_13_01002_s2,39.37298807182293,0.9949155,0.01515,4.719719e-06
15507,15507,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_2_140135_s3,35.61635802141563,0.9835554,0.015175,7.395793e-06
13225,13225,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Hayao_0_01278_s2,38.16275169120482,0.99682426,0.01518,7.49204e-06
10321,10321,any,/root/autodl-tmp/animedata/train_10k/Disney_26_00818_s2,35.50171933625929,0.99066,0.01519,6.6348603e-06
15862,15862,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_197663_s3,34.381409609685505,0.9914402,0.015205,6.2787517e-06
13559,13559,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Hayao_0_01499_s3,35.19881699711587,0.99688315,0.01521,5.86011e-06
15573,15573,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Japan_2_15066_s2,33.85584252857174,0.9859313,0.01521,8.743224e-06
16068,16068,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_29027_s3,34.66838555580631,0.9650653,0.01524,9.998013e-06
10088,10088,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_23_01563_s2,36.89550648313596,0.99355084,0.01526,9.559812e-06
6781,6781,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Japan_2_199079_s2,34.19222721426828,0.9929406,0.01527,8.362391e-06
17072,17072,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_4_115564_s2,41.357808507151326,1.2868739,0.015274,0.0
15468,15468,any,/root/autodl-tmp/animedata/train_10k/Japan_2_128054_s3,36.2321075599004,0.988113,0.01529,9.705656e-06
14884,14884,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Japan_1_06812_s3,36.28107795462029,0.9933279,0.015305,5.867748e-06
10999,10999,any,/root/autodl-tmp/animedata/train_10k/Disney_28_01200_s1,41.47665088454232,0.99477714,0.01532,6.339108e-06
14443,14443,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Japan_0_33350_s2,33.02988116083442,0.99156106,0.015335,8.018413e-06
8536,8536,any,/root/autodl-tmp/animedata/train_10k/Disney_0_12211_s2,42.31913513957458,1.0221041,0.01534,3.985215e-06
15972,15972,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_221425_s2,32.92073051233998,0.96765995,0.01535,1.0080119e-05
1078,1078,"(320, 640)",/root/autodl-tmp/animedata/anime_dataset/197,37.58103560826727,0.9742753,0.01536,5.952952e-06
16237,16237,any,/root/autodl-tmp/animedata/train_10k/Japan_2_63655_s2,33.533028965066535,0.98035,0.01536,8.7600065e-06
8695,8695,any,/root/autodl-tmp/animedata/train_10k/Disney_10_02652_s1,37.6370070553572,1.0073383,0.015366,6.3964417e-06
